Serial No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,"New York, NY",2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,26.7
63,Mercedes-Benz New C-Class 200 CDI Classic,"Phoenix, AZ",2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,10.0
64,Tata Indica V2 eLS,"San Diego, CA",2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2.5
65,Audi A4 2.0 TDI Multitronic,"Dallas, TX",2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,13.5
66,Honda City ZX CVT,"San Antonio, TX",2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,1.85
67,Mercedes-Benz C-Class Progressive C 220d,"Philadelphia, PA",2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,57811.76 USD,35.67
68,Maruti Ertiga SHVS VDI,"Dallas, TX",2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.15
69,Hyundai Creta 1.4 E Plus Diesel,"Phoenix, AZ",2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,13894.12 USD,10.5
70,Porsche Cayenne 2009-2014 Turbo,"Houston, TX",2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5.0,,14.5
71,Mahindra XUV500 W8 4WD,"Philadelphia, PA",2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.65
72,Hyundai i10 Sportz 1.2 AT,"Los Angeles, CA",2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.48
73,Nissan Terrano XV D Pre,"San Jose, CA",2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,19588.24 USD,6.92
74,Honda Brio VX AT,"Phoenix, AZ",2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,6.46
75,Audi A6 2.0 TDI Design Edition,"New York, NY",2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,29.5
76,Ford Fiesta 1.4 SXi TDCi,"Houston, TX",2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5.0,,2.0
77,Toyota Innova 2.0 G1,"Phoenix, AZ",2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5
78,Toyota Innova 2.5 VX 7 STR BSIV,"Phoenix, AZ",2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,11.75
79,Hyundai Santro Xing XL,"Phoenix, AZ",2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,,1.3
80,Maruti Swift VDI,"San Diego, CA",2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3.75
81,Tata Zest Revotron 1.2T XE,"Phoenix, AZ",2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,7847.06 USD,4.5
82,Honda Amaze SX i-VTEC,"Los Angeles, CA",2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.82
83,Ford Figo Diesel ZXI,"Chicago, IL",2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.8
84,Maruti Ritz VDi,"Los Angeles, CA",2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.11
85,Honda City i VTEC E,"Dallas, TX",2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,3.25
86,BMW 5 Series 2003-2012 525d,"San Antonio, TX",2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,13.9
87,Hyundai i10 Sportz 1.2,"San Antonio, TX",2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.25
88,Hyundai Grand i10 Sportz,"Chicago, IL",2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75
89,Hyundai Santro Xing XO,"Philadelphia, PA",2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,2.1
90,Honda Amaze SX i-VTEC,"San Jose, CA",2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.0
91,Toyota Fortuner 4x2 Manual,"Chicago, IL",2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,16.5
92,Audi A6 2011-2015 35 TDI Premium,"Philadelphia, PA",2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,39.58
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,"Phoenix, AZ",2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.5
94,Mahindra XUV500 W8 2WD,"Los Angeles, CA",2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,8.1
95,Honda Amaze SX i-DTEC,"Phoenix, AZ",2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5
96,Volkswagen Polo Diesel Highline 1.2L,"Dallas, TX",2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.79
97,Hyundai Verna Transform SX VGT CRDi,"Dallas, TX",2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5.0,,3.45
98,Maruti Wagon R VXI BS IV,"San Antonio, TX",2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,4.45
99,Volkswagen Polo Petrol Highline 1.6L,"Los Angeles, CA",2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,,2.65
100,Hyundai i20 1.4 CRDi Sportz,"San Diego, CA",2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5.0,,3.8
101,Hyundai i20 Asta 1.2,"Houston, TX",2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,4.65
102,Datsun GO Plus T Petrol,"Philadelphia, PA",2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7.0,7588.24 USD,3.95
103,Audi A4 3.0 TDI Quattro Premium,"Houston, TX",2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,,9.8
104,Hyundai i20 2015-2017 Asta,"San Antonio, TX",2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,2.7
105,Maruti Omni 5 Str STD,"Houston, TX",2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.41
106,Toyota Etios Liva 1.2 G,"San Antonio, TX",2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,7541.18 USD,3.9
107,Jaguar XF 3.0 Litre S Premium Luxury,"Houston, TX",2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5.0,,24.0
108,Mahindra XUV500 W8 2WD,"Houston, TX",2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,5.75
109,Hyundai Verna 1.6 SX CRDI (O) AT,"New York, NY",2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.25
110,Toyota Innova Crysta 2.8 ZX AT,"San Diego, CA",2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,31764.71 USD,19.25
111,Maruti Eeco 5 Seater AC,"Phoenix, AZ",2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5.0,6035.29 USD,3.91
112,Tata Nano Twist XT,"Los Angeles, CA",2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,2.15
113,BMW 3 Series 320d Luxury Line,"Phoenix, AZ",2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,64035.29 USD,20.75
114,Honda Civic 2006-2010 1.8 V MT,"Chicago, IL",2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.35
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,"San Diego, CA",2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,11.11
116,Volvo V40 Cross Country D3,"Chicago, IL",2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5.0,,20.0
117,Nissan Micra XV CVT,"Philadelphia, PA",2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,11188.24 USD,6.55
118,BMW 5 Series 2010-2013 525i,"San Antonio, TX",2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5.0,,7.0
119,Maruti Vitara Brezza VDi,"Chicago, IL",2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11717.65 USD,7.5
120,Hyundai Santro Xing XL eRLX Euro III,"Philadelphia, PA",2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5.0,,0.85
121,Mercedes-Benz B Class B200 CDI,"Phoenix, AZ",2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5.0,,16.75
122,Hyundai Verna CRDi 1.6 SX Option,"Los Angeles, CA",2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,16988.24 USD,10.95
123,Maruti Wagon R LXI BS IV,"Philadelphia, PA",2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.45
124,Tata Nano XTA,"San Antonio, TX",2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4.0,,3.23
125,Mahindra Scorpio VLX,"Phoenix, AZ",2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,,7.75
126,Mercedes-Benz New C-Class 200 K AT,"San Antonio, TX",2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5.0,,9.35
127,Maruti Wagon R LXI CNG,"San Antonio, TX",2013,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,3.25
128,Honda CR-V 2.4 MT,"Phoenix, AZ",2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5.0,,5.25
129,Volkswagen Vento 1.5 TDI Comfortline AT,"Chicago, IL",2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5.0,,7.25
130,Maruti Ciaz VXi Plus,"San Jose, CA",2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,7.47
131,Mahindra XUV500 AT W10 FWD,"New York, NY",2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.25
132,Maruti Ritz VXI ABS,"Chicago, IL",2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,5.81
133,Maruti Alto K10 VXI,"New York, NY",2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,5329.41 USD,2.6
134,Mercedes-Benz SLC 43 AMG,"Chicago, IL",2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,111811.76 USD,54.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,"Chicago, IL",2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,15870.59 USD,11.5
136,Maruti Alto LXi BSIII,"Dallas, TX",2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.6
137,BMW 1 Series 118d Base,"Los Angeles, CA",2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5.0,,17.22
138,Honda Jazz 1.2 V CVT i VTEC,"Los Angeles, CA",2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,,6.0
139,Honda Civic 2006-2010 1.8 V MT,"Houston, TX",2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.95
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,"Houston, TX",2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5.0,,17.95
141,Honda Amaze SX i-DTEC,"Chicago, IL",2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.7
142,Maruti Swift VVT VXI,"San Jose, CA",2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,5.43
143,Hyundai Santro Xing XO eRLX Euro II,"Philadelphia, PA",2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5.0,,1.67
144,Toyota Fortuner 3.0 Diesel,"Dallas, TX",2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.49
145,Chevrolet Beat LT Option,"Dallas, TX",2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,,2.85
146,Skoda Rapid 1.5 TDI Elegance,"Houston, TX",2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,,4.75
147,Maruti Ciaz 1.4 Alpha,"Phoenix, AZ",2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,9.9
148,Audi RS5 Coupe,"San Jose, CA",2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4.0,1.28 Cr,37.0
149,BMW 3 Series Luxury Line,"Phoenix, AZ",2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5.0,71623.53 USD,26.5
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,"New York, NY",2015,48214,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,23.32
151,Maruti Swift VDI,"Los Angeles, CA",2016,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.25
152,Mercedes-Benz S Class 2005 2013 S 500,"Philadelphia, PA",2010,35277,Petrol,Automatic,First,7.81 kmpl,5461 CC,362.9 bhp,5.0,,30.0
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,"San Antonio, TX",2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,9.86
154,Skoda Superb Elegance 2.0 TDI CR AT,"Chicago, IL",2012,136997,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5.0,,8.5
155,Hyundai EON Magna Plus,"Houston, TX",2019,14322,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,4.23
156,Volkswagen Polo Diesel Trendline 1.2L,"Houston, TX",2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.5
157,Datsun GO NXT,"Chicago, IL",2016,6000,Petrol,Manual,First,20.63 kmpl,1198 CC,67.06 bhp,5.0,,2.5
158,Honda Brio S MT,"New York, NY",2013,33280,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2.39
159,Mercedes-Benz B Class B180,"San Antonio, TX",2013,29000,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5.0,,11.25
160,Honda City i DTEC V,"Houston, TX",2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.11
161,Toyota Innova 2.5 G (Diesel) 7 Seater,"Los Angeles, CA",2016,90000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,10.9
162,Maruti Swift VXI Optional,"Dallas, TX",2017,24005,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,6.2
163,Mahindra XUV500 W8 2WD,"Los Angeles, CA",2012,32792,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,7.9
164,Ford Ecosport 1.5 DV5 MT Ambiente,"Dallas, TX",2014,147898,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4.42
165,Toyota Fortuner 4x2 Manual,"New York, NY",2012,131765,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.5
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,"New York, NY",2013,65000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,,6.25
167,Ford Figo Diesel Titanium,"San Antonio, TX",2010,66123,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,,2.1
168,BMW X5 xDrive 30d,"San Antonio, TX",2015,41000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5.0,,45.0
169,Mercedes-Benz New C-Class C 220 CDI Style,"San Antonio, TX",2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,33.66
170,Honda Brio V MT,"San Antonio, TX",2012,45000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.65
171,Hyundai i10 Magna 1.2,"San Jose, CA",2013,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.75
172,Mercedes-Benz GLC 220,"Houston, TX",2016,44414,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5.0,,42.5
173,Hyundai Grand i10 1.2 Kappa Asta,"Houston, TX",2019,1000,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,8694.12 USD,6.5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,"San Antonio, TX",2012,62500,Diesel,Automatic,Second,17.68 kmpl,1968 CC,174.33 bhp,5.0,,19.0
175,Volkswagen Vento Petrol Highline AT,"San Jose, CA",2013,21000,Petrol,Automatic,Second,14.4 kmpl,1598 CC,103.6 bhp,5.0,,4.45
176,Mini Countryman Cooper D,"Los Angeles, CA",2017,8525,Diesel,Automatic,Second,16.6 kmpl,1998 CC,112 bhp,5.0,,23.0
177,Hyundai i20 Asta 1.4 CRDi,"Chicago, IL",2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,8.35
178,Audi A6 2011-2015 2.0 TDI Premium Plus,"Philadelphia, PA",2014,40000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,22.95
179,Chevrolet Beat Diesel LT,"Chicago, IL",2012,88000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,1.5
180,Skoda Superb Elegance 1.8 TSI AT,"Dallas, TX",2012,53537,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,6.89
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,"San Antonio, TX",2006,216000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,1.45
182,BMW 5 Series 520d Luxury Line,"Houston, TX",2014,51000,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,81729.41 USD,33.5
183,Chevrolet Optra Magnum 1.6 LS BS3,"Phoenix, AZ",2007,118500,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5.0,,1.25
184,Volkswagen Polo Diesel Highline 1.2L,"Phoenix, AZ",2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.2
185,Renault Lodgy 110PS RxZ 8 Seater,"New York, NY",2015,25000,Diesel,Manual,First,19.98 kmpl,1461 CC,108.5 bhp,8.0,,6.75
186,Mercedes-Benz E-Class E250 CDI Avantgrade,"New York, NY",2014,37382,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,32.0
187,Maruti Baleno Alpha,"San Jose, CA",2017,24773,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,10329.41 USD,7.5
188,Hyundai Verna 1.6 SX,"San Diego, CA",2012,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,4.6
189,Hyundai i10 Magna 1.1,"Los Angeles, CA",2017,52340,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,4.04
190,Mahindra Scorpio 1.99 S10 4WD,"Houston, TX",2016,56739,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7.0,,10.31
191,Land Rover Range Rover 2.2L Dynamic,"Phoenix, AZ",2018,36091,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,55.76
192,Ford Figo Diesel ZXI,"San Diego, CA",2010,120000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.6
193,Maruti Ertiga ZDI,"Los Angeles, CA",2016,33000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,14988.24 USD,8.5
194,Honda City 1.5 GXI,"New York, NY",2007,60006,Petrol,Manual,First,0.0 kmpl,,,,,2.95
195,Honda Amaze S i-Dtech,"Phoenix, AZ",2014,52000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5
196,Hyundai i10 Magna,"Los Angeles, CA",2015,43571,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.55
197,Honda Amaze S i-Dtech,"Phoenix, AZ",2013,50000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.25
198,Skoda Laura Ambiente,"San Diego, CA",2008,113000,Diesel,Manual,First,17.5 kmpl,1896 CC,106 bhp,5.0,,4.5
199,Renault Duster 85PS Diesel RxL,"Dallas, TX",2014,90000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,,5.35
200,Mahindra NuvoSport N6,"Chicago, IL",2017,29000,Diesel,Manual,Second,17.45 kmpl,1493 CC,100 bhp,7.0,12376.47 USD,6.5
201,Maruti Vitara Brezza ZDi Plus Dual Tone,"San Jose, CA",2016,20000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,14094.12 USD,9.0
202,Hyundai i20 Asta Option 1.2,"Houston, TX",2016,61012,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.0
203,Skoda Fabia 1.4 MPI Ambiente,"Phoenix, AZ",2009,87459,Petrol,Manual,First,14.7 kmpl,1390 CC,85 bhp,5.0,,2.75
204,Tata Indigo eCS GLX,"Houston, TX",2010,70500,Petrol,Manual,First,15.64 kmpl,1193 CC,64.1 bhp,5.0,,1.5
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,"Philadelphia, PA",2015,64103,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,19.9
206,Skoda Octavia Elegance 1.8 TSI AT,"Los Angeles, CA",2014,76000,Petrol,Automatic,First,14.7 kmpl,1798 CC,177.5 bhp,5.0,,10.0
207,Toyota Etios Liva GD SP,"Philadelphia, PA",2014,104000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.06 bhp,5.0,,3.0
208,Maruti Swift 1.3 VXi,"Houston, TX",2010,42001,Petrol,Manual,First,16.1 kmpl,,,,,2.11
209,Mercedes-Benz B Class B180,"Dallas, TX",2014,37245,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,5.0,,11.96
210,Honda Amaze S Diesel,"Philadelphia, PA",2013,45000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,10047.06 USD,3.25
211,Hyundai Verna 1.6 SX,"Los Angeles, CA",2012,117837,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,,4.75
212,Renault Duster 85PS Diesel RxL Optional,"Chicago, IL",2014,30000,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5.0,,5.95
213,Hyundai Creta 1.6 VTVT S,"San Jose, CA",2015,27057,Petrol,Manual,Second,15.29 kmpl,1591 CC,121.3 bhp,5.0,,8.15
214,Maruti Wagon R AMT VXI,"Chicago, IL",2016,8500,Petrol,Automatic,First,20.51 kmpl,998 CC,67 bhp,5.0,,4.22
215,Mercedes-Benz New C-Class C250 Avantgarde,"San Diego, CA",2010,30500,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,10.5
216,Audi A8 L 3.0 TDI quattro,"San Diego, CA",2012,56000,Diesel,Automatic,First,11.8 kmpl,2967 CC,246.7 bhp,5.0,,45.0
217,Hyundai i10 Magna 1.1,"Los Angeles, CA",2012,44000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.9
218,Skoda Rapid 1.6 MPI AT Style Black Package,"Philadelphia, PA",2017,10500,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,5.0,,8.9
219,Skoda Superb Style 1.8 TSI AT,"San Diego, CA",2017,26000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5.0,39505.88 USD,26.0
220,Hyundai i20 Active 1.2 SX,"Philadelphia, PA",2018,25166,Petrol,Manual,First,17.19 kmpl,1197 CC,81.86 bhp,5.0,,8.22
221,Honda Amaze VX i-DTEC,"Chicago, IL",2014,64000,Diesel,Manual,Second,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5
222,Maruti Wagon R LXI,"Houston, TX",2004,61000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.25
223,Mahindra Verito 1.5 D4 BSIV,"Philadelphia, PA",2013,107000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5.0,10729.41 USD,3.7
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,"Los Angeles, CA",2018,29161,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,39.41
225,Maruti Wagon R VXI,"Phoenix, AZ",2013,32000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,6223.53 USD,2.65
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,"Houston, TX",2015,46173,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.5 bhp,5.0,,8.92
227,Maruti Swift VDI BSIV,"Phoenix, AZ",2013,47000,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,5.0,,4.1
228,Mini Cooper Convertible S,"Philadelphia, PA",2017,26327,Petrol,Automatic,First,16.82 kmpl,1998 CC,189.08 bhp,4.0,52094.12 USD,35.67
229,Ford Figo Diesel,"Phoenix, AZ",2015,70436,Diesel,Manual,First,0.0 kmpl,1498 CC,99 bhp,,,3.6
230,Tata Indica V2 DLS BSII,"San Antonio, TX",2007,200000,Diesel,Manual,Second,17.2 kmpl,1396 CC,53.5 bhp,5.0,,0.85
231,Chevrolet Beat LT,"Phoenix, AZ",2016,60813,Petrol,Manual,Second,18.6 kmpl,1199 CC,76.8 bhp,5.0,,3.32
232,Volkswagen Polo Diesel Comfortline 1.2L,"Phoenix, AZ",2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.6
233,Maruti Swift ZDi,"Houston, TX",2016,64000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.8
234,Ford Figo Diesel EXI,"San Antonio, TX",2012,41284,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,,2.5
235,Toyota Innova Crysta 2.8 GX AT,"Phoenix, AZ",2019,14165,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,24400.00 USD,19.64
236,Hyundai Santa Fe 4x4 AT,"San Antonio, TX",2011,67000,Diesel,Automatic,Second,11.72 kmpl,2199 CC,194.3 bhp,7.0,,7.0
